Company;Type;Reg.nr.;PAX;YOM;
Avcon Jet AG (Operated by Avcon Jet SRL);Legacy 650;T7-888;13;2014;Heavy Jet
Falcon Aviation Services;Legacy 650;T7-FTH;13;2019;Heavy Jet
Midline Aviation Services Br.Midline Investments L.L.C (Operated by Titan Aviation San Marino S.R.L.);Legacy 650;T7-MIDB;13;2015;Heavy Jet
JetPartner (Operated by Genel Havacilik A.S.);Legacy 650;TC-ATS;13;2011;Heavy Jet
Union Aviation;Legacy 650;YL-DAN;13;2014;Heavy Jet
Union Aviation;Legacy 650;YL-ECT;13;2011;Heavy Jet
Union Aviation;Legacy 650;YL-REX;13;2011;Heavy Jet
Toyo Aviation;Legacy 650;YR-TRE;13;2013;Heavy Jet
Diamond Sky;Nextant 400XTi;ES-CMK;8;2013;Light Jet
JetBee Czech s.r.o.;Nextant 400XTi;OK-DJB;8;2015;Light Jet
JetBee Czech s.r.o.;Nextant 400XTi;OK-ESC;7;2012;Light Jet
Time Air;Nextant 400XTi;OK-JFA;6;2017;Light Jet
Time Air;Nextant 400XTi;OK-PPP;6;2015;Light Jet
Time Air;Nextant 400XTi;OK-RAH;5;2012;Light Jet
AFM Aviation (Operated by MC HAVACILIK);Nextant 400XTi;TC-AFM;8;2012;Light Jet
JetPartner (Operated by Quattro Jet Havacilik Tic As);Nextant 400XTi;TC-CDY;7;2013;Light Jet
JetPartner (Operated by Quattro Jet Havacilik Tic As);Nextant 400XTi;TC-DZM;7;2014;Light Jet
BGA Jets (Operated by SOZJET HAVACILIK ANONİM ŞİRKETİ);Nextant 400XTi;TC-OZG;7;2014;Light Jet
Business Jet Aviation GmbH (Operated by Arcus-Air Group);Phenom 100;D-IAAT;4;2010;Entry Level Jet
A-Aviation GmbH (Operated by ProAir Aviation GmbH);Phenom 100;D-ISTP;4;2010;Entry Level Jet
Above Aero AOC Ltd;Phenom 100;G-FABV;4;2010;Entry Level Jet
FCM JETS Group Ltd (Operated by Fly-Coop Ltd.);Phenom 100;HA-EVO;4;2012;Entry Level Jet
FLYZAR;Phenom 100;LV-GQN;6;2012;Entry Level Jet
Alpha Aviation s.r.o.;Phenom 100;OK-VAN;4;2010;Entry Level Jet
Luxwing Ltd;Phenom 100E;9H-HBS;5;2011;Entry Level Jet
Pan Europeenne;Phenom 100E;F-HSBL;5;2015;Entry Level Jet
Vall Wings (Operated by PHS - Premium Aviation and Handling Services, Soc. U.P. Lda);Phenom 100EV;CS-DJI;6;2022;Entry Level Jet
Alpha Aviation s.r.o.;Phenom 100EV;OK-NEO;5;2023;Entry Level Jet
UpStar Aviation;Phenom 100EV;PS-CHZ;9;2021;Entry Level Jet
Windrose Air;Phenom 100EX;D-IHCR;4;2024;Entry Level Jet
Alpine Sky Jets Ltd. (Operated by MJet GmbH);Phenom 100EX;OE-FXI;4;2026;Entry Level Jet
Executive Jet Management Europe;Phenom 300;CSLPA;7;2014;Super Light Jet
Avcon Jet AG (Operated by International Jet Management GmbH);Phenom 300;D-CAAF;9;2016;Super Light Jet
Avcon Jet AG (Operated by International Jet Management GmbH);Phenom 300;D-CAAG;9;2013;Super Light Jet
PAD Aviation Service;Phenom 300;D-CAGA;8;2017;Super Light Jet
SPREE FLUG Luftfahrt GmbH;Phenom 300;D-CAKE;7;2017;Super Light Jet
SPREE FLUG Luftfahrt GmbH;Phenom 300;D-CASH;8;2017;Super Light Jet
PAD Aviation Service;Phenom 300;D-CBBS;8;2016;Super Light Jet
DAS Private Jets GmbH;Phenom 300;D-CDAS;8;2015;Super Light Jet
SPREE FLUG Luftfahrt GmbH;Phenom 300;D-CDMO;8;2018;Super Light Jet
DAS Private Jets GmbH;Phenom 300;D-CFHZ;8;2017;Super Light Jet
Evosky GmbH (Operated by ProAir Aviation GmbH);Phenom 300;D-CHGS;8;2013;Super Light Jet
MHS Aviation GmbH (Operated by Elangeni GmbH);Phenom 300;D-CHMD;7;2017;Super Light Jet
PAD Aviation Service;Phenom 300;D-CLUB;8;2022;Super Light Jet
PAD Aviation Service;Phenom 300;D-CMMP;7;2016;Super Light Jet
PAD Aviation Service;Phenom 300;D-CRUX;8;2025;Super Light Jet
PAD Aviation Service;Phenom 300;D-CSCE;8;2017;Super Light Jet
PAD Aviation Service;Phenom 300;D-CTOR;8;2018;Super Light Jet
Pan Europeenne;Phenom 300;F-HGPE;8;2019;Super Light Jet
SD AVIATION;Phenom 300;F-HLRS;8;2014;Super Light Jet
Luxaviation (Operated by London Executive Aviation);Phenom 300;G-JAGA;7;2013;Super Light Jet
SaxonAir;Phenom 300;G-WZAP;8;2017;Super Light Jet
Diamond jet Ltd. (Operated by Fly-Coop Ltd.);Phenom 300;HA-EMA;8;2014;Super Light Jet
FCM JETS Group Ltd (Operated by Fly-Coop Ltd.);Phenom 300;HA-EMB;8;2012;Super Light Jet
Scanwings;Phenom 300;OH-TFD;9;2022;Super Light Jet
Alpha Aviation s.r.o.;Phenom 300;OK-AML;9;2015;Super Light Jet
Alpha Aviation s.r.o.;Phenom 300;OK-AMR;9;2015;Super Light Jet
Flapper Technologies LLC (Operated by TERRAL TAXI AEREO LTDA dba JETFOR Aviation);Phenom 300;PP-LJA;8;2014;Super Light Jet
Chapman Freeborn Americas (Operated by Brasil Jato Taxi Aereo SA);Phenom 300;PR-BJA;9;2013;Super Light Jet
Lider Taxi Aereo S/A - Air Brasil;Phenom 300;PR-BLS;7;2012;Super Light Jet
ORTAC (AOC) LIMITED;Phenom 300E;2-EMBR;9;2019;Super Light Jet
TAG Aviation UK;Phenom 300E;9H-FLYIN;8;2023;Super Light Jet
DAS Private Jets GmbH;Phenom 300E;D-CKVI;9;2020;Super Light Jet
SPREE FLUG Luftfahrt GmbH;Phenom 300E;D-CLIF;8;2018;Super Light Jet
VALLJET (Operated by AIRLEC AIR ESPACE);Phenom 300E;F-HCHF;8;2026;Super Light Jet
ADM Aviation Executive;Phenom 300E;F-HETA;9;2025;Super Light Jet
SD AVIATION;Phenom 300E;F-HRDG;9;2021;Super Light Jet
Naljets Ltd;Phenom 300E;G-IMTT;9;2026;Super Light Jet
Swiss Private Jet SA;Phenom 300E;HB-VPI;8;2025;Super Light Jet
EGT JET LTD.;Phenom 300E;LZ-EGT;9;2021;Super Light Jet
EGT JET LTD.;Phenom 300E;LZ-FTJ;9;2026;Super Light Jet
EGT JET LTD.;Phenom 300E;LZ-JET;9;2021;Super Light Jet
EGT JET LTD.;Phenom 300E;LZ-JFT;9;2026;Super Light Jet
Haute Aviation AG;Phenom 300E;OE-GTA;8;2021;Super Light Jet
Scanwings;Phenom 300E;OH-TFE;9;2025;Super Light Jet
Elio Jet a.s.;Phenom 300E;OK-ELA;9;2026;Super Light Jet
Elio Jet a.s.;Phenom 300E;OK-ELB;9;2026;Super Light Jet
Elio Jet a.s.;Phenom 300E;OK-ELD;9;2020;Super Light Jet
CTR Atmospherica Aviation a.s.;Phenom 300E;OK-PHA;7;2021;Super Light Jet
CTR Atmospherica Aviation a.s.;Phenom 300E;OK-PHE;7;2022;Super Light Jet
CTR Atmospherica Aviation a.s.;Phenom 300E;OK-PHN;7;2025;Super Light Jet
CTR Atmospherica Aviation a.s.;Phenom 300E;OK-PHO;7;2022;Super Light Jet
CTR Atmospherica Aviation a.s.;Phenom 300E;OK-PHP;7;2025;Super Light Jet
QA Aviation s.r.o.;Phenom 300E;OK-STS;6;2021;Super Light Jet
Blackbird Air  A/S;Phenom 300E;OY-BBL;8;2023;Super Light Jet
MY JET S.R.L.;Phenom 300E;YR-DDN;9;2023;Super Light Jet
AirGO Private Airline Gmbh;Piaggio Avanti EVO;D-IPPY;6;2018;Light Jet
AirGO Private Airline Gmbh;Piaggio Avanti II;D-IRBS;7;2011;Light Jet
Aviostart Ltd;Piaggio Avanti II;LZ-ASO;7;2009;Light Jet
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC 12;OH-KBD;6;2026;Turbo Prop
Copenhagen Airtaxi A/S;Pilatus PC 12;OY-GSA;8;2008;Turbo Prop
JETFLY AVIATION SA (Operated by Jetfly Aviation UK);Pilatus PC 12/45;G-OJFB;6;2014;Turbo Prop
Ravenair;Pilatus PC-12 PRO;G-IPDP;8;2025;Turbo Prop
Haute Aviation AG;Pilatus PC-12 PRO;HB-FGF;8;2025;Turbo Prop
Pilart Air GmbH & CO KG (Operated by Skyside GmbH);Pilatus PC-12 PRO;OE-EJH;8;2026;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12 PRO;OH-GEM;6;2025;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12 PRO;OH-TWD;6;2026;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC-12 PRO;OK-OMG;6;2026;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC-12 PRO;OK-VNI;7;2025;Turbo Prop
Hans Jet (Operated by Alliance Executive Jets Ltd);Pilatus PC-12/47E (NG);9H-EHA;6;2017;Turbo Prop
Hans Jet (Operated by Alliance Executive Jets Ltd);Pilatus PC-12/47E (NG);9H-EHB;6;2017;Turbo Prop
Flydedicated B.V. (Operated by TJS (Malta) Limited);Pilatus PC-12/47E (NG);9H-WIT;8;2019;Turbo Prop
DAS Private Jets GmbH;Pilatus PC-12/47E (NG);D-FCAR;8;2017;Turbo Prop
Heron Aviation;Pilatus PC-12/47E (NG);D-FPOS;8;2019;Turbo Prop
St Barth Executive;Pilatus PC-12/47E (NG);FOSTB;8;2019;Turbo Prop
JETFLY AVIATION SA (Operated by Jetfly Aviation UK);Pilatus PC-12/47E (NG);G-OJFA;6;2009;Turbo Prop
Oriens Flight Operations Limited;Pilatus PC-12/47E (NG);G-SCLN;6;2017;Turbo Prop
JETFLY AVIATION SA;Pilatus PC-12/47E (NG);LX-FLM;8;2023;Turbo Prop
JETFLY AVIATION SA;Pilatus PC-12/47E (NG);LX-FLS;8;2025;Turbo Prop
JETFLY AVIATION SA;Pilatus PC-12/47E (NG);LX-JFE;8;2018;Turbo Prop
Volea (Operated by Birdbase Aviation GmbH);Pilatus PC-12/47E (NG);OE-EGO;8;2012;Turbo Prop
Volea (Operated by Birdbase Aviation GmbH);Pilatus PC-12/47E (NG);OE-EMS;8;2009;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-DBM;6;2020;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-DEN;6;2016;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-EVE;6;2018;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-JFM;6;2010;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-PBL;6;2010;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-SSS;6;2017;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC-12/47E (NG);OH-TUA;6;2016;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC-12/47E (NG);OK-CTI;8;2019;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC-12/47E (NG);OK-HFH;6;2019;Turbo Prop
Flexflight;Pilatus PC-12/47E (NG);OY-LPF;8;2018;Turbo Prop
Flexflight;Pilatus PC-12/47E (NG);OY-NBS;8;2009;Turbo Prop
Flexflight;Pilatus PC-12/47E (NG);OY-RSE;8;2011;Turbo Prop
SPARFELL Airways SA (Operated by Sparfell Malta Ltd);Pilatus PC-24;9H-APX;8;2018;Super Light Jet
Air Corporate S.R.L.;Pilatus PC-24;9H-CARLO;8;2022;Super Light Jet
Albinati Aeronautics (Operated by Albinati Aviation Ltd);Pilatus PC-24;9H-JAAL;6;2026;Super Light Jet
Druk Asia (Operated by Drukair Corporation Limited);Pilatus PC-24;A5-JUW;8;2025;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CAMO;8;2026;Super Light Jet
Avinex Aviation GmbH (Operated by Air Alliance Aviation GmbH);Pilatus PC-24;D-CAPM;8;2025;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CFBL;8;2025;Super Light Jet
Star Wings GmbH;Pilatus PC-24;D-CFGT;7;2025;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CHMS;8;2021;Super Light Jet
Air Independence;Pilatus PC-24;D-CJBH;8;2019;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CJMS;8;2022;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CMSL;8;2022;Super Light Jet
Skyside GmbH;Pilatus PC-24;D-CNMO;6;2021;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-COIN;8;2024;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-COPI;8;2023;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-COPS;8;2024;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CPTN;8;2023;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CSLS;8;2025;Super Light Jet
Volkswagen AirService GmbH;Pilatus PC-24;D-CVAA;8;2019;Super Light Jet
Platoon Aviation;Pilatus PC-24;D-CVMS;8;2021;Super Light Jet
Gestair;Pilatus PC-24;EC-NRA;7;2022;Super Light Jet
Stellaer 212;Pilatus PC-24;EI-RGO;6;2026;Super Light Jet
Stellaer 212;Pilatus PC-24;EJ-MACK;8;2025;Super Light Jet
FLYINGGROUP;Pilatus PC-24;F-HGCP;8;2020;Super Light Jet
The Little Jet Company Ltd (Operated by Regency Jet Limited);Pilatus PC-24;G-PAMH;8;2021;Super Light Jet
Silver Aviation (Operated by 247 Aviation Limited);Pilatus PC-24;G-SLVA;8;2024;Super Light Jet
TAG Aviation UK;Pilatus PC-24;G-YSSS;8;2023;Super Light Jet
CAT Aviation AG;Pilatus PC-24;HB-VGA;7;2023;Super Light Jet
CAT Aviation AG;Pilatus PC-24;HB-VGB;6;2021;Super Light Jet
Global Jet Luxembourg S.A.;Pilatus PC-24;LX-AND;6;2020;Super Light Jet
FLYINGGROUP;Pilatus PC-24;LX-FBC;6;2024;Super Light Jet
FLYINGGROUP;Pilatus PC-24;LX-KHH;8;2023;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-PCC;8;2019;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-PCL;8;2023;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-PCM;8;2025;Super Light Jet
FLYINGGROUP;Pilatus PC-24;LX-REK;8;2024;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-RIM;8;2021;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-ROI;8;2020;Super Light Jet
JETFLY AVIATION SA;Pilatus PC-24;LX-ZAP;8;2023;Super Light Jet
Platoon Aviation;Pilatus PC-24;OE-GLB;8;2019;Super Light Jet
OK Aviation Wings s.r.o.;Pilatus PC-24;OK-EBT;8;2021;Super Light Jet
OK Aviation Wings s.r.o.;Pilatus PC-24;OK-TBE;8;2024;Super Light Jet
Jet Story;Pilatus PC-24;SP-NOC;7;2025;Super Light Jet
Hans Jet (Operated by Alliance Executive Jets Ltd);Pilatus PC12 NGX;9H-EHC;6;2023;Turbo Prop
JETLIFE-AVIATION GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FABJ;8;2023;Turbo Prop
Air Independence;Pilatus PC12 NGX;D-FCMS;6;2024;Turbo Prop
Star Wings GmbH;Pilatus PC12 NGX;D-FDGA;6;2020;Turbo Prop
JETLIFE-AVIATION GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FEBJ;8;2021;Turbo Prop
JETLIFE-AVIATION GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FEEL;8;2022;Turbo Prop
Arcus-Air Group;Pilatus PC12 NGX;D-FFMK;6;2020;Turbo Prop
Skywalker GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FHOT;8;2024;Turbo Prop
Air Independence;Pilatus PC12 NGX;D-FINO;6;2024;Turbo Prop
Skywalker GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FIRE;8;2023;Turbo Prop
JETLIFE-AVIATION GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FOOD;8;2025;Turbo Prop
Evosky GmbH (Operated by ProAir Aviation GmbH);Pilatus PC12 NGX;D-FRRR;8;2024;Turbo Prop
Stellaer 212;Pilatus PC12 NGX;EI-NGX;6;2025;Turbo Prop
St Barth Executive;Pilatus PC12 NGX;FONGX;8;2022;Turbo Prop
Jet Assist Ltd (Operated by 247 Aviation Limited);Pilatus PC12 NGX;G-ISJE;8;2022;Turbo Prop
Silver Aviation (Operated by 247 Aviation Limited);Pilatus PC12 NGX;G-MDSE;8;2023;Turbo Prop
Haute Aviation AG;Pilatus PC12 NGX;HB-FGA;8;2023;Turbo Prop
Air Corviglia AG;Pilatus PC12 NGX;HB-FJJ;8;2025;Turbo Prop
Haute Aviation AG;Pilatus PC12 NGX;HB-FUU;8;2020;Turbo Prop
Pilart Air GmbH & CO KG (Operated by Skyside GmbH);Pilatus PC12 NGX;OE-EJJ;8;2022;Turbo Prop
Goldeck-Flug;Pilatus PC12 NGX;OE-EPZ;6;2023;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-DDK;6;2025;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-FDI;8;2023;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-FUK;6;2023;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-GVS;6;2017;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-MAN;6;2022;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-RDS;6;2023;Turbo Prop
JETFLY AVIATION SA (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-RJD;6;2022;Turbo Prop
Scanwings;Pilatus PC12 NGX;OH-TFB;8;2020;Turbo Prop
Nextair (Operated by Fly 7 Finland Oy);Pilatus PC12 NGX;OH-VAD;7;2020;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-CER;7;2024;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-HAP;8;2021;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-JKP;8;2022;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-MXM;8;2023;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-OUT;8;2024;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-PMP;8;2021;Turbo Prop
JetForTrip s.r.o.;Pilatus PC12 NGX;OK-PVN;8;2020;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-SAG;6;2023;Turbo Prop
Alpha Aviation s.r.o.;Pilatus PC12 NGX;OK-TKJ;8;2021;Turbo Prop
Sentient Jet (Operated by Flexjet Operations Malta LTD);Praetor 600;9H-IFX;9;2020;Super Midsize Jet
Executive Jet Management Europe;Praetor 600;CSEFC;9;2022;Super Midsize Jet
MHS Aviation GmbH;Praetor 600;D-BGFN;6;2019;Super Midsize Jet
Luxaviation (Operated by London Executive Aviation);Praetor 600;G-ENRG;9;2020;Super Midsize Jet
Luxaviation (Operated by London Executive Aviation);Praetor 600;G-LZIE;9;2025;Super Midsize Jet
Luxaviation (Operated by London Executive Aviation);Praetor 600;G-LZRI;9;2023;Super Midsize Jet
VOLUXIS;Praetor 600;G-RNDX;7;2022;Super Midsize Jet
Sentient Jet (Operated by FLEXJET Operations Limited);Praetor 600;G-RORE;9;2023;Super Midsize Jet
Albinati Aeronautics;Praetor 600;HB-JET;6;2026;Super Midsize Jet
SPARFELL Luftfahrt GmbH;Praetor 600;OE-HBH;9;2025;Super Midsize Jet
SPARFELL Airways SA (Operated by SPARFELL Luftfahrt GmbH);Praetor 600;OE-HPL;9;2019;Super Midsize Jet
Avcon Jet AG (Operated by International Jet Management GmbH);Praetor 600;OE-HSX;9;2021;Super Midsize Jet
Scanwings;Praetor 600;OH-TFC;10;2023;Super Midsize Jet
CTR Atmospherica Jets s.r.o.;Praetor 600;OK-PRF;9;2024;Super Midsize Jet
CTR Atmospherica Jets s.r.o.;Praetor 600;OK-PRJ;9;2025;Super Midsize Jet
Jet Story;Praetor 600;SP-EFF;9;2025;Super Midsize Jet
AMC Aviation;Praetor 600;SP-GMS;9;2024;Super Midsize Jet
FAS Finow Air Service GmbH;Premier I;D-IETB;6;2003;Light Jet
PARADOX JETS LTD;Premier I;LZ-EUR;6;2003;Light Jet
PARADOX JETS LTD;Premier I;LZ-LUX;6;2003;Light Jet
PARADOX JETS LTD;Premier I;LZ-PDM;6;2005;Light Jet
SKYJETS EUROPE (Operated by Tatra JET s.r.o.);Premier I;OM-GLE;6;2007;Light Jet
Tatra JET s.r.o.;Premier I;OM-TAA;6;2006;Light Jet
Fly Away Boutique Aviation;Premier IA;D-ICAB;6;2008;Light Jet
Fly Away Boutique Aviation;Premier IA;D-IDBA;6;2006;Light Jet
Peak air GmbH;Premier IA;D-IGST;5;2006;Light Jet
Peak air GmbH;Premier IA;D-ISAG;5;2007;Light Jet
Exxaero Fleet B.V. (Operated by Exxaero GmbH);Premier IA;D-ITOC;6;2007;Light Jet
Italfly;Premier IA;I-AFOI;6;2008;Light Jet
Magna Aviation (Operated by Air Intersalonika);Premier IA;SX-MKG;6;2007;Light Jet
FROST (Operated by FROST Air ApS);Saab 2000;OY-FSB;50;1996;Airliner
FROST (Operated by FROST Air ApS);Saab 2000;OY-FSC;50;1995;Airliner
FROST (Operated by FROST Air ApS);Saab 2000;OY-FSD;50;1996;Airliner
FROST (Operated by FROST Air ApS);Saab 2000;OY-FSE;50;1997;Airliner
Sentient Jet (Operated by FLEXJET Operations Limited);Sikorsky S-76 C++;G-FXVA;8;2007;Helicopter
Sentient Jet (Operated by FLEXJET Operations Limited);Sikorsky S-92;G-FXCT;16;2004;Helicopter
